Reference,Prediction
mmm…ʁo˧qʰwɤ˩|le˧pv̩˩kʰɯ˩|,mm[UNK]ʁo˥q[UNK]wɤ˩ le˧pv[UNK]˩k[UNK]ɯ˩
tʰi˩˥|njæ˧sɯ˩kv̩˩|hĩ˧|ɲi˧tsi˧kv̩˧ɲi˥|ə˩gi˩|lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥|,t[UNK]i˩˥ njæ˧sɯ˩kv[UNK]˩ hi[UNK]˧ ɲi˧tsi˧kv[UNK]˧ɲi˥ə˩gi˩˥ lɑ˧t[UNK]ɑ˧mi˧ɻ[UNK]˧pi˥
tʰv̩˧v̩˧ʂɯ˧se˥kwɤ˩tɕɯ˩lɑ˩|kʰv̩˧ʈʂʰɯ˧|ɲi˧kʰv̩˧so˧kʰv̩˥|le˧ʂɯ˧ze˧le˧ʂe˧mɤ˧ɖɯ˧|ɲi˧kʰv̩˧so˧kʰv̩˥|le˧ʂɯ˧ze˧le˧ʂe˧mɤ˧ɖɯ˧|ʈʂʰɯ˧|tsʰe˩kʰv̩˩hĩ˥|ɖɯ˧v̩˧ɳɯ˧ʈʂʰɯ˧|ʈʂʰɯ˧lɑ˩|ɑ˩ʁo˧|tʰi˧pʰæ˧dʑo˥|hɑ˧|tʰi˧ki˧dʑo˩|gɯ˩ʝi˥|tsʰe˩kʰv̩˩ze˩gv̩˩ɳɯ˥|ʂɯ˧|,ʈʂ[UNK]ɯ˧v[UNK]˧ ʂɯ˧se˥kwɤ˩tɕɯ˩lɑ˩ k[UNK]v[UNK]˧ʈʂ[UNK]ɯ˧ ɲi˧k[UNK]v[UNK]˧so˧k[UNK]wɤ˥ le˧ʂɯ˧ze˧ ɲi˧k[UNK]v[UNK]˧ so˧k[UNK]v[UNK]˥ le˧ʂɯ˧ze˧ ʈʂ[UNK]ɯ˧ ts[UNK]e˩k[UNK]v[UNK]˩hi[UNK]˥ ɖɯ˧v[UNK]˧ɳɯ˧ ʈʂ[UNK]ɯ˧ ʈʂ[UNK]ɯ˧lɑ˩ ɑ˩ʁo˧t[UNK]i˧p[UNK]æ˧dʑo˥ hɑ˧ t[UNK]i˧ki˧ dʑo˩ kɯ˩ʝ˥ ts[UNK]e˩k[UNK]v[UNK]˩ze˩gv[UNK]˩ ɯ˥ʂɯ˩
ə˧mi˧|dzɑ˧hĩ˧ki˧|ə˧sɯ˩kv̩˩|tɑ˧ho˧bi˧ze˧|pi˧|dʑɤ˩hĩ˧ki˧|tɑ˧ho˧bi˧ze˧|pi˧|,ə˧mi˧ dzɑ˧hi[UNK]˧ki˧ ə˧sɯ˩kv[UNK]˩ tɑ˧ho˧bi˩ze˩ pi˧ dʑɤ˩hi[UNK]˧ki˥ tɑ˧hwɤ˧bi˧ze˧ pi˧
qwæ˩ʈʂæ˩qo˥|sɑ˧|tʰi˧ʈʰæ˧˥|ʈʂʰɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩|le˧kʰi˥|ʈʂʰɯ˧ne˧ʝi˥|le˧ɲi˩|,qwæ˩ɖʐæ˩qɑ˥sɑ˩ t[UNK]i˧ʈ[UNK]æ˧˥ ʈʂɯɖɯ˧ʈʂɯ˧ k[UNK]wɤ˥ɖɯ˩k[UNK]wɤ˩ le˧k[UNK]i˧˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧ɲi˩
njæ˧ɻæ˩dʑo˩|kʰv̩˩mi˩pi˥hĩ˩dʑo˩|ɑ˩ʁo˥|ʈʰææ̃˧|kʰv̩˧ʂe˧|le˧ʁhĩ˧ɻæ˥|ʝi˧kʰv̩˥|ɑ˩ʁo˥|kʰv̩˧ʂe˧tɕɤ˧kʰɯ˥|mɤ˧kv̩˧˥|,njæ˧ɻæ˩dʑo˩ k[UNK]v[UNK]˩mi˩pi˥ɻ[UNK]˩dʑo˩ ɑ˩ʁo˧ ʈ[UNK]ææ[UNK]˧ k[UNK]v[UNK]˧ɯ˧ɲi le˧ʁohi[UNK]˧ɻæ˥ ʝi˧k[UNK]v[UNK]˥ ɑ˩ʁo˧ k[UNK]v[UNK]˧ʂe˧ tɕɤ˩k[UNK]ɯ˥ mɤ˧kv[UNK]˧˥
ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧hɑ̃˧˥|ɖɯ˧hɑ̃˧˥|ɖɯ˧hɑ̃˧ɳɯ˥|tʰi˩˥|bi˧lo˧gv̩˩|so˩hɑ̃˩hɑ̃˥kv̩˩tsɯ˩|mv̩˩,ʈʂ[UNK]ɯ˧ne˧ʝi˥ ɖɯ˧hɑ˧ ɖɯ˧hɑ[UNK]˧ ɖɯ˧hɑ[UNK]˧ɳɯ˧ t[UNK]i˩˥ bi˧ lo˧gv[UNK]˩ so˩hɑ[UNK]˩hɑ[UNK]˥kv[UNK]˩tsɯ˩ mv[UNK]˩
ə˧tso˧ɲi˩kv̩˩hɤ˩|pi˧zo˩|,ə˧tso˧ʝi˧ɲi˩kv[UNK]˩hɯ˩ pi˧zo˩
zo˩no˧ne˩ʝi˩zo˩|ə˧tso˧ə˧tso˥|ɖɯ˧qʰwɤ˧ɖɯ˥qʰwɤ˩|pi˧zo˩|ɖɯ˧ʈʂo˩ɖɯ˩ʈʂo˩|dʑo˧mɤ˧kv̩˧˥|,zo˩no˧ni˩ do˧ ə˧tso˧ə˧tso˥ɖɯ˧q[UNK]wɤ˩ ɖɯ˧q[UNK]wɤ˩ pi˥zo˩ ɖɯ˧ʈʂo˩ ɖɯ˧ʈʂe˩ dʑo˩mɤ˩kv[UNK]˩
le˧dzɯ˥zo˩|tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥|le˧ʈʰæ˧˥|dʑo˩|mɤ˩ʈʂʰɯ˥|tʰi˧di˩|le˧tsʰɯ˩tsɯ˩mv̩˩|,le˧dzɯ˧zo˥ t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧ʈ[UNK]æ˧˥ dʑo˩ mɤo˩ʈʂ[UNK]ɯ˥ t[UNK]i˧di˩le˩sɯ˩tsɯ˩ mv[UNK]˩
tʰi˩˥|dɑ˧pɤ˧|ʈʂʰɯ˧v̩˧ɳɯ˩|ɖɯ˧ʑi˩ɖɯ˩ʑi˩|mv̩˧ɻwæ˧kv̩˩ze˩|,t[UNK]i˩˥ dɑ˧pɤ˧ ʈʂ[UNK]ɯ˧v[UNK]˧ɳɯ˩ ɖɯ˧ʑi˩ɖɯ˩ʑi˩ mv[UNK]˧ɻæ˩kv[UNK]˩ze˩mæ˩
tʰi˩˥|ə˧ʑi˧˥|ʁɑ˩mi˧|njɤ˧|tso˩bi˩zo˩ʝi˩˥|ʁɑ˩mi˧|tʰi˩˥|qʰɑ˩ne˩˥|tso˩bi˩˥|pi˧tsɯ˩|mv̩˩|,t[UNK]i˩˥ ə˧ʑi˧ɻ˥ ʁɑ˩mi˧ njɤ˧ tso˩bi˩zo˩ʝi˥ ʁɑ˩mi˧ t[UNK]i˩˥ q[UNK]ɑ˩ne˩˥ tso˧bi˩ pi˧tsɯ˩ mv[UNK]˩
ə˧dɑ˧|no˧|qʰɑ˩ne˩ʝi˥tso˩ɲi˩|ʈʂʰɯ˧ne˧ʝi˥se˩|hɑ˧ʐwɤ˩zo˩,ə˧dɑ˥ɳɯ˩ q[UNK]ɑ˩ne˩ʝi˥tso˩ɲi˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥se˩ hɑ˧ʐwɤ˩zo˩
ʈʂʰɯ˧ɲi˥kv̩˩qo˩|kʰɯ˧le˧po˧tsʰɯ˧˥|mv̩˩zɯ˩˥|tʰi˧lɑ˧˥|dʑo˩|zo˩no˥|zo˩no˥|njæ˧sɯ˩kv̩˩|ə˧ʝi˧ʂɯ˥ʝi˩|zo˩no˥|hĩ˧ɻæ˥|ʈæ˧bɤ˧ʁɑ˧ʂe˩|ə˩gi˩|,ʈʂ[UNK]ɯ˧ɲi˥kv[UNK]˩qo˩k[UNK]ɯ˩le˧po˧ts[UNK]ɯ˧˥ mv[UNK]˩zɯ˩˥ t[UNK]i˧lɑ˧˥ dʑo˩ zo˩no˥ zo˩no˥ njæ˧sɯ˩kv[UNK]˩ ə˧ʝi˧ʂɯ˥ʝi˩ zo˩no˥ hi[UNK]˧ɻæ˥ ʈæ˧bɤ˧ʁɑ˧ʂe˩ ə˩gi˩
ʂe˧ʐe˧|ɖɯ˧ʐe˥|ʂe˧sɑ˩|ɖɯ˧sɑ˧˥|əʐɯ˧ɖɯ˧kɤ˩|əəə…pɤ˩jɤ˧ɖɯ˧qo˧ho˩|dze˧|pɤ˩jɤ˧|ʈʂwæ˧ʈʂwæ˧|ɖɯ˧qo˧ho˩|tʰi˩˥|le˧pɤ˥pɤ˩|,ʂe˧ʐe˧ ɖɯ˧ʐe˥ ʂe˧sɑ˩ ɖɯ˧sɑ˥ ʐɯ˧ɖɯ˧kɤ˩ əə[UNK]pɤ˩jɤ˧ ɖɯ˧qo˩ho˩ dze˧ pɤ˩jɤ˩˥ ʈʂwæ˧ʈʂwæ˧˥ ɖɯ˧qo˩ho˩ t[UNK]i˩˥ le˧pɤ˥pɤ˩
ə˧ʝi˧ʂɯ˥ʝi˩|le˧go˩|le˧go˩|le˧go˩|le˧go˩dʑo˩|tsʰi˧ɲi˧|le˧go˩|ʈʂʰæ˧ɣɯ˧mɤ˧dʑo˧|hu˧mi˧ʈʂʰæ˧ɣɯ˧mɤ˧dʑo˧|ə˩gi˩|,ə˧ʝi˧ʂɯ˥ʝi˩ le˧go˩ le˧go˩ le˧go˩ le˧go˩dʑo˩ tɕ[UNK]ɯ˧ɲi˧ le˧go˩ ʈʂ[UNK]æ˧ɣɯ˧ mɤ˧dʑo˧ hu˧mi˧ʈʂ[UNK]æ˧ɣɯ˧ mɤ˧dʑo˧ ə˩gi˩
kv̩˧tʰv̩˧|õ˧bv̩˥õ˩le˩tv̩˩|ɖɯ˧ʑi˩ɳɯ˩|kv̩˧|ɲi˧ɭɯ˧so˩ɭɯ˩po˩|ɖɯ˧v̩˧tʰi˧tɕɤ˧˥|,kv[UNK]˧tɕ[UNK]o˧ o[UNK]˧bv[UNK]˥o[UNK]˩le˧tv[UNK]˧ ɖɯ˧ʑi˩ɳɯ˩kv[UNK]˧˥ ɲi˧ɭɯ˧so˩ɭɯ˩po˩ ɖɯ˧vwɤ˧ t[UNK]i˧tɕɤ˧˥
tʰi˧dʑo˧|tʰi˧wɤ˧|wɤ˧mɤ˧kv̩˩lɑ˩|tʰi˧ʂe˧|tʰi˧kʰɤ˧ɕjɤ˧ɻ˧ɲi˥jɤjɤ|,t[UNK]i˧dʑo˩ d[UNK]i˧wɤ˩ wɤ˧ mɤ˧kv[UNK]˩lɑ˩ t[UNK]i˧ʂe˧ t[UNK]i˧k[UNK]ɤ˩ɕjɤ˧ɻ˧ɲi˥jɤ
hĩ˧ʈʂʰɯ˧|qʰɑ˩jɤ˩dʑo˩ɲi˥tsɯ˩mv̩˩|tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥|ʈʂʰɯ˧dʑo˩|zo˩no˥|pʰe˧|ʈʂʰɯ˧ɻ̍˩se˩|mi˩zɯ˩dʑo˩˥|se˩|ɖwæ˩mɤ˧zo˧|ʂɯ˧ɬi˧mi˧mo˧ɖʐv̩˥ne˩|ɖʐv̩˧kv̩˧mæ˩|pi˧|,hi[UNK]˧ʈʂ[UNK]ɯ˧ q[UNK]ɑ˩jɤ˩dʑo˩ɲi˥tsɯ˩ mv[UNK]˩ t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ʈʂ[UNK]ɯ˧dʑo˩ zo˩no˥ p[UNK]e˧ ʈʂ[UNK]ɯ˧ɻ˩se˩ mi˩zɯ˩dʑo˩˥se˩ ɖwæ˧mɤ˧zo˧ ʂɯ˧ɬi˧mi˧mo˧ɖʐv[UNK]˥ni˩ ɖʐv[UNK]˧kv[UNK]˩mæ˩ pi˧
ə˧mi˧ɻæ˩|ɲi˧mi˧qʰæ˧ʂæ˧|pʰi˩dɑ˩˥|sɑ˧le˧ɲi˩|,ə˧mi˧ɻæ˩ ɲi˧mv[UNK]˧ q[UNK]ɑ˧ʂæ˧ p[UNK]i˩dɑ˧˥ sɑ˧ le˧ɲi˩
ə˧ʝi˧ʂɯ˥ʝi˩|ɬɑ˧sɑ˧hɯ˧dʑo˥|zo˧ʈʂʰɯ˧|le˧wo˥|le˧jo˩mɤ˩kv̩˩ze˩tsɯ˩|mv̩˩,ə˧ʝi˧ʂɯ˥ʝi˩ ɬɑ˧sɑ˧hɤ˧dʑo˥ zo˧ʈʂ[UNK]ɯ˥ le˧wo˥ le˧jo˩ mɤ˧kv[UNK]˩ze˩tsɯ˩ mv[UNK]˩
no˧mɤ˧dʑo˧|njɤ˧ki˧ki˩|njɤ˧mɤ˧dʑo˧|no˧ki˧ki˩|,no˧ mɤ˧dʑo˧ njɤ˧ki˧ki˩ njɤ˧mɤ˧dʑo˧ no˧ki˧ki˩
zo˩no˥|to˩mi˩˥|ɑ˩ʁo˧|to˩mi˩˥|ə˧mɑ˧ki˩|tʰi˧di˩mɤ˩di˩|ə˩gi˩|m|,zo˩no˥ to˩mi˩˥ ɑ˩ʁo˧ to˩mi˧ ə˧mɑ˧ki˩ t[UNK]i˧di˩ɻɤ˩di˩ ə˩gi˩ m[UNK]
wɤ˩˥|ʐɯ˧|ɖɯ˧ʈʰɤ˥tʰi˩kʰɯ˩|dɑ˧pɤ˧|tʰv̩˧v̩˧ɳɯ˩|le˧ʈʂʰo˥|le˧ʈʂʰo˥|,wɤ˩˥ ɖʐɯ˧ ɖɯ˧ʈ[UNK]ɤ˥t[UNK]i˩k[UNK]ɯ˩ dɑ˧pɤ˧ t[UNK]v[UNK]˧v[UNK]˧ɯ˩ le˧ʈʂ[UNK]o˧le˧ʈʂ[UNK]o˧
əəə…ə˧zɯ˩|tsʰi˧qʰæ˧˥dʑo˩|tɕʰi˧mɤ˧bi˧ze˧|le˧wo˥|le˧bi˩ze˩|pi˧zo˩|ə˧mi˧lɑ˧|mv̩˩lɑ˥|tʰi˩˥|di˩li˩ʁo˩bv̩˥ʈʂʰɯ˩|ɖɯ˧v̩˧ɖɯ˧kɖɯ˧v̩˧ɖɯ˧kʰɤ˧ɖʐɤ˥|le˧po˧tsʰɯ˧ɲi˥tsɯ˩|mv̩˩,əə[UNK]ə˧zɯ˩ ts[UNK]i˧q[UNK]æ˧˥ dʑo˩ tɕ[UNK]i˧mɤ˧bi˧ze˧ le˧wo˥ le˧bi˩ze˩ pi˧zo˩no˥ ə˧mi˧lɑ˩ mv[UNK]˩lɑ˥ t[UNK]i˩˥ di˩li˩ʁo˩bi˥ t[UNK]ɯ˩ ɖɯ˧v[UNK]˧ ɖɯ˧ɖɯ˧v[UNK]˧ɖɯ˧k[UNK]ɤ˧ɖʐɤ˥ le˧po˧ts[UNK]ɯ˧ɲi˥tsɯ˩ mv[UNK]˩
dʑɯ˩ʁo˩di˥hĩ˩|v̩˩tsʰɤ˧˥|jɤ˧˥|vwo˩˥|õ˧ʈʂʰɯ˧lɑ˩dʑo˩|tʰi˩˥|,dʑɯ˩ʁo˩di˥hi[UNK]˥ v[UNK]˧ts[UNK]ɤ˧˥ ʝi˩ɻwɤ˩˥ ə[UNK]wo˩˥ o[UNK]˧ʈʂ[UNK]ɯ˧lɑ˩dʑo˩ t[UNK]i˩˥
wo˩ɳɯ˥|ʈʂʰɯ˧ne˧ʝi˥|le˧ʝi˥kwɤ˩tɕɯ˩lɑ˩|tʰi˩˥|hɑ˧le˧dʑo˧|dʑi˧hṽ˧mv̩˩di˩|le˧dʑo˧|,wo˩ɳɯ˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧ʝi˥kwɤ˩tɕɯ˩lɑ˩ t[UNK]i˩˥ hɑ˧ le˧dʑo˧ dʑi˧hv[UNK]˧mv[UNK]˩di˩ le˧dʑo˩
ə˧lɑ˧ʁwɤ˧|hĩ˧dzi˧kʰɯ˥dʑo˩|tʰi˩˥|zo˩no˥|ə˧lɑ˧tʰɑ˧mi˧ɻ̍˥|ə˧ʝi˧ʂɯ˥ʝi˩|hĩ˧mo˥hĩ˩dʑo˩|zo˧mv̩˥|mɤ˧dʑo˩ɲi˩tsɯ˩|mv̩˩|,ə˧lɑ˧ʁo˧ hi[UNK]˧dʑɯ˧k[UNK]ɯ˥dʑo˩ t[UNK]i˩˥ zo˩no˥ ə˧lɑ˧t[UNK]ɑ˧mi˧ɻ[UNK]˥ ə˧ʝi˧ʂɯ˥ʝi˩ hi[UNK]˧mo˥hi[UNK]˩dʑo˩ zo˧mv[UNK]˥ mɤ˧dʑo˩ɲi˩tsɯ˩ mv[UNK]˩
ɖʐe˧|dʑɤ˩˥|ɖɯ˧mɤ˧kv̩˧tsɯ˥|mv̩˩|,ɖʐe˧ tɕɤ˩˥ ɖɯ˧mɤ˧kv[UNK]˧tsɯ˥ mv[UNK]˩
hɑ˩ʂɯ˧|dzɯ˧ɲi˥mæ˩|,ʁæ˩ʂæ˧dzɯ˩ɲi˥mæ˩
dʑɯ˩nɑ˩mi˩ʁo˩ɳɯ˥|ɖɯ˧gɤ˧˥|ɖɯ˧gɤ˧˥|ɖɯ˧gɤ˧˥|ɖɯ˧gɤ˧ɳɯ˥|ɑ˩ʁo˧kʰi˥qʰv̩˩|no˩qo˥tʰv̩˩ɲi˩|qʰwɤ˧tsʰi˩|no˩qo˥kʰɯ˩ɲi˩wɤ˩|,dʑɯ˩nɑ˩mi˩ʁo˥ɳɯ˩ ɖɯ˧gɤ˧ ɖɯ˧gɤ˧ ɖɯ˧gɤ˧ ɖɯ˧gɤ˧ɳɯ˥ ɑ˩ʁo˧k[UNK]i˩ q[UNK]ɑ˩nɑ˩qo˩t[UNK]v[UNK]˩m[UNK]˩ qq[UNK]wɤ˧tɕɯ˩ no˩qo˥k[UNK]ɯ˩zo˩
tʰi˩˥|tsʰo˩mo˩˥|ɖɯ˧v̩˧tsʰɯ˩zo˩|pʰe˧|no˧|ɖwæ˩mɤ˧zo˧|mi˩zɯ˩˥|ɖɯ˧v̩˧dʑo˩ze˩dʑo˩|ʂɯ˧ɬi˧mi˧|mo˧ɖʐv̩˥ne˩|hĩ˧|dʑo˩kv̩˩ze˥|no˧|ɖwæ˩mɤ˧zo˧|ʂɯ˧ɬi˧mi˧|mo˧ɖʐv̩˥ne˩|dʑo˩ʝi˩˥|pi˧zo˩|æ˧ʂæ˧qʰwɤ˧ʈʂʰɯ˧|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧pi˥|,t[UNK]i˩˥ ts[UNK]o˩mo˧˥ ɖɯ˧v[UNK]˧ts[UNK]ɯ˩zo˩ p[UNK]e no˧ ɖwæ˩mɤ˧zo˧ mi˩zɯ˩˥ ɖɯ˧v[UNK]˧dʑo˩ʑe˩dʑo˩ ʂɯ˧ɬi˧mɤ˧ mo˧ɖʐv[UNK]˥ne˩ hi[UNK]˧ dʑo˩kv[UNK]˩ze˥ no˧ ɖwæ˩mɤ˧zo˧ ʂɯ˧ɬi˧mi˧mo˧ɖʐv[UNK]˥ne˩ ɖʐv[UNK]˧ʝi˧ pi˧zo˩ æ˧ʂæ˧q[UNK]wɤ˧ʈʂ[UNK]ɯ˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ t[UNK]˧pi˧˥
tʰi˩˥|qwɤ˧lɯ˧ʁo˧|ə˧tse˥|ʂɻ̩˧ɲi˥|pi˧|,t[UNK]i˩˥ qwɤ˧ɭɯ˧ʁ ə˧tse˧˥ ʂɯ˧˥ ɲi˩ pi˧
wɤ˩˥|ə˧ʑi˧ki˥ti˩|ə˧pʰv̩˧ki˧ti˥|ə˧v̩˧ki˥ti˩|ə˧mi˧tɕi˩ki˩ti˩|ə˧mi˧ɖɯ˩ki˩ti˩|tʰv̩˧ne˧ʝi˥|tɑ˧kɤ˧kɤ˩|le˧ti˩le˧ti˩|,wɤ˩˥ ə˧ʑi˧ki˥ti˩ ə˧p[UNK]v[UNK]˧ki˧ti˥ ə˧v[UNK]˧ki˥ti˩ ə˧mi˧tɕi˩ki˩ti˩ ə˧mi˧ ɖɯ˩ki˩ t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ɳɯ˧ʝi˥ tɑ˧kɤ˧kɯ˩ le˧ti˩
õtsʰo˧pæ˧ʝi˧kʰɯ˩ɲi˩mæ˩|njɤ˧|ə˧v̩˧ɖɯ˧hĩ˥dʑo˩|tsʰo˧pæ˧tʰi˧tɕʰo˩|,o[UNK]˧˥ts[UNK]o˧pæ˧ʝi˥k[UNK]ɯ˩ɲi˩mæ˩ njɤ˧ ə˧v[UNK]˧˥ ɖɯ˩hi[UNK]˥ dʑo˩ ts[UNK]o˧pæ˧t[UNK]i˧tɕ[UNK]o˥
ʐɤ˩mi˩ʈɤ˥ʈɤ˩tɕɯ˩ɑ˩ʁo˧|ʐɤ˩mi˩qo˥|ə˩gi˩||,ʈʂ[UNK]ɤ˩ne˩mi˩ ʈɤ˧ʈɤ˩ts[UNK]ɤ˩ wɤ˩˥ ʈʂɤ˧nɲi˧mi˧qo˥ ə˩gi˩
tsʰe˩kʰv̩˩˥|le˧gv̩˧ze˧|bɑ˩˥|tsʰe˩kʰv̩˩ʁʁo˩dɑ˩˥|dʑo˩|qʰæ˧˥|tsʰe˩kʰv̩˩ʁo˩tʰo˥dʑo˩|mɤ˧qʰæ˧ze˥|,ts[UNK]e˩k[UNK]v[UNK]˥le˧gv[UNK]˩ze˩pæ˩ ts[UNK]e˧k[UNK]v[UNK]˧˥ ʁwo˩dɑ˧˥ dʑo˩ q[UNK]æ˧ɻæ˥ ts[UNK]e˩k[UNK]v[UNK]˩˥ ʁo˩t[UNK]o˥dʑo˩ mɤ˧q[UNK]æ˧ze˥
