form	ex	zh	en	fr	start	end	length	forme_non_canonique
ʁwɤ˧1	ʁwɤ˧ | ɖɯ˧-ɭɯ˧	一座山	A mountain.	Une montagne.	00:01:24,625	00:01:25,472	00:00:00,847	False
ʁo˧tsʰe˧ʁo#˥					00:01:42,701	00:01:43,444	00:00:00,743	False
ʁo˧tsʰe˧ʁo#˥					00:01:44,954	00:01:45,975	00:00:01,021	False
ʁo˧tsʰe˧ʁo#˥					00:01:48,889	00:01:49,673	00:00:00,783	False
to˩˥					00:01:46,823	00:01:47,061	00:00:00,238	False
to˩˥					00:01:48,139	00:01:48,370	00:00:00,230	False
to˩˥					00:01:50,178	00:01:50,759	00:00:00,580	False
ko˥					00:01:56,877	00:01:57,333	00:00:00,455	False
bo˧1					00:01:59,536	00:02:00,023	00:00:00,487	False
bo˧1					00:02:01,354	00:02:01,733	00:00:00,379	False
lo˩2					00:02:05,120	00:02:06,856	00:00:01,735	False
lo˩2	lo˧-qo˧	山谷里 	in the valley	dans la vallée	00:02:08,311	00:02:08,818	00:00:00,506	False
æ˩˥					00:02:14,304	00:02:15,421	00:00:02,066	False
æ˩˥					00:02:15,421	00:02:16,370	00:00:02,066	False
æ˩pʰæ˧˥					00:02:17,264	00:02:18,298	00:00:02,321	False
æ˩pʰæ˧˥					00:02:18,298	00:02:19,586	00:00:02,321	False
æ˩pʰæ˧˥					00:02:20,260	00:02:20,921	00:00:00,661	False
æ˩pʰæ˧˥					00:02:21,839	00:02:22,489	00:00:00,650	False
æ˩pʰæ˧˥					00:02:32,497	00:02:33,216	00:00:00,719	False
æ˩pʰæ˧˥	æ˩pʰæ˧˥, | pi˧ ɲi˩ mæ˩! | æ˩pʰæ˧˥, | pi˧ ɲi˩ mæ˩!	说的是‘岩石’嘛！说的是‘岩石’嘛！	It is said ‘cliff’, isn't it! It is said ‘cliff’, isn't it!	On dit ‘falaise’, n'est-ce pas! On dit ‘falaise’, n'est-ce pas!	00:02:24,044	00:02:26,761	00:00:02,716	False
æ˩ʈv̩˥					00:02:37,350	00:02:38,319	00:00:03,680	False
æ˩ʈv̩˥					00:02:38,319	00:02:39,521	00:00:03,680	False
æ˩ʈv̩˥					00:02:39,521	00:02:41,030	00:00:03,680	False
æ˩ʈv̩˥					00:02:42,104	00:02:42,655	00:00:00,551	False
ʁwɤ˧qʰv̩˧					00:02:48,204	00:02:48,733	00:00:02,502	False
ʁwɤ˧qʰv̩˧					00:02:48,733	00:02:50,707	00:00:02,502	False
ʁwɤ˧qʰv̩˧					00:02:51,342	00:02:51,897	00:00:00,554	True
ʁwɤ˧qʰv̩˧					00:02:53,307	00:02:54,033	00:00:00,725	False
ʁwɤ˧qʰv̩˧					00:02:55,658	00:02:56,483	00:00:00,824	False
ʁwɤ˧qʰv̩˧					00:02:58,385	00:02:58,866	00:00:00,481	True
ʁwɤ˧qʰv̩˧					00:03:01,980	00:03:02,610	00:00:00,629	False
ʁwɤ˧qʰv̩˧					00:03:03,693	00:03:04,279	00:00:00,586	True
dʑɯ˩-nɑ˩mi˩-ʁo˩					00:03:13,036	00:03:13,724	00:00:00,687	True
dʑɯ˩-nɑ˩mi˩-ʁo˩					00:03:14,676	00:03:15,802	00:00:01,126	False
dʑɯ˩-nɑ˩mi˩-ʁo˩					00:03:17,305	00:03:18,542	00:00:01,236	False
dʑɯ˩-nɑ˩mi˩-ʁo˩					00:03:21,039	00:03:22,327	00:00:01,287	True
dʑɯ˩-nɑ˩mi˩-ʁo˩					00:03:24,204	00:03:24,971	00:00:00,767	True
qʰv̩˧dʑɯ˥$	hwæ˧tsɯ˥-qʰv̩˩dʑɯ˩	耗子洞	mousehole	trou de souris	00:03:29,317	00:03:30,294	00:00:03,539	False
qʰv̩˧dʑɯ˥$	hwæ˧tsɯ˥-qʰv̩˩dʑɯ˩	耗子洞	mousehole	trou de souris	00:03:30,294	00:03:32,857	00:00:03,539	False
dʑɯ˩	dʑɯ˧ | ɖɯ˧-kʰɯ˩	一条河	a river	une rivière	00:03:37,838	00:03:39,158	00:00:03,494	False
dʑɯ˩	dʑɯ˧ | ɖɯ˧-kʰɯ˩	一条河	a river	une rivière	00:03:39,158	00:03:41,332	00:00:03,494	False
dʑɯ˩	dʑɯ˧ | ɖɯ˧-kʰɯ˩	一条河	a river	une rivière	00:03:42,339	00:03:43,933	00:00:01,593	True
dʑɯ˩	dʑɯ˧ | ɖɯ˧-kʰɯ˩	一条河	a river	une rivière	00:03:45,639	00:03:46,928	00:00:01,288	False
hi˩-nɑ˧mi#˥					00:03:49,868	00:03:50,661	00:00:00,792	True
hi˩-nɑ˧mi#˥					00:03:52,408	00:03:53,882	00:00:01,474	False
